document,page,text,font_size,is_bold,x,y,char_length,body_font_size,heading_level,heading
1812.04202v3.pdf,1,Deep Learning on Graphs: A Survey,24,0,112,74,33,9.5,H1,1
1812.04202v3.pdf,1,"Ziwei Zhang, Peng Cui and Wenwu Zhu, Fellow, IEEE",11,0,174,103,49,9.5,H3,0
1812.04202v3.pdf,1,INTRODUCTION,11,1,65,294,12,9.5,H3,1
1812.04202v3.pdf,1,arXiv:1812.04202v3 [cs.LG] 13 Mar 2020,20,0,32,560,38,9.5,H1,0
1812.04202v3.pdf,2,NOTATIONS AND PRELIMINARIES,11,1,329,351,27,9.5,H3,1
1812.04202v3.pdf,3,GRAPH RECURRENT NEURAL NETWORKS,11,1,65,621,31,9.5,H3,1
1812.04202v3.pdf,3,Node-level RNNs,9.5,1,334,51,15,9.5,H3,1
1812.04202v3.pdf,4,Graph-level RNNs,9.5,1,70,319,16,9.5,H3,1
1812.04202v3.pdf,4,GRAPH CONVOLUTIONAL NETWORKS,11,1,65,706,28,9.5,H3,1
1812.04202v3.pdf,4,Convolution Operations,9.5,1,334,428,22,9.5,H3,1
1812.04202v3.pdf,8,Readout Operations,9.5,1,70,252,18,9.5,H3,1
1812.04202v3.pdf,9,Improvements and Discussions,9.5,1,70,450,28,9.5,H3,1
1812.04202v3.pdf,11,GRAPH AUTOENCODERS,11,1,329,331,18,9.5,H3,1
1812.04202v3.pdf,11,Autoencoders,9.5,1,334,438,12,9.5,H3,1
1812.04202v3.pdf,13,Variational Autoencoders,9.5,1,70,241,24,9.5,H3,1
1812.04202v3.pdf,13,Improvements and Discussions,9.5,1,334,51,28,9.5,H3,1
1812.04202v3.pdf,14,GRAPH REINFORCEMENT LEARNING,11,1,65,362,28,9.5,H3,1
1812.04202v3.pdf,14,GRAPH ADVERSARIAL METHODS,11,1,329,559,25,9.5,H3,1
1812.04202v3.pdf,14,Adversarial Training,9.5,1,334,648,20,9.5,H3,1
1812.04202v3.pdf,15,Adversarial Attacks,9.5,1,70,718,19,9.5,H3,1
1812.04202v3.pdf,16,DISCUSSIONS AND CONCLUSION,11,1,65,51,26,9.5,H3,1
1812.04202v3.pdf,16,Applications,9.5,1,70,128,12,9.5,H3,1
1812.04202v3.pdf,16,Implementations,9.5,1,70,492,15,9.5,H3,1
1812.04202v3.pdf,16,Future Directions,9.5,1,70,615,17,9.5,H3,1
1812.04202v3.pdf,16,Summary,9.5,1,334,578,7,9.5,H3,1
1812.04202v3.pdf,16,ACKNOWLEDGEMENT,11,1,312,682,15,9.5,H3,1
1812.04202v3.pdf,17,REFERENCES,11,1,48,243,10,9.5,H3,1
1812.04202v3.pdf,21,APPENDIX A,11,1,48,51,10,9.5,H3,1
1812.04202v3.pdf,21,SOURCE CODES,11,1,48,65,12,9.5,H3,1
1812.04202v3.pdf,21,APPENDIX B,11,1,48,172,10,9.5,H3,1
1812.04202v3.pdf,21,APPLICABILITY FOR COMMON TASKS,11,1,48,186,30,9.5,H3,1
1812.04202v3.pdf,21,APPENDIX C,11,1,48,294,10,9.5,H3,1
1812.04202v3.pdf,21,NODE CLASSIFICATION RESULTS ON BENCHMARK,11,1,48,307,40,9.5,H3,1
1812.04202v3.pdf,21,DATASETS,11,1,48,321,8,9.5,H3,1
1812.04202v3.pdf,21,APPENDIX D,11,1,312,335,10,9.5,H3,1
1812.04202v3.pdf,21,AN EXAMPLE OF GRAPH SIGNALS,11,1,312,349,27,9.5,H3,1
1812.04202v3.pdf,23,APPENDIX E,11,1,48,501,10,9.5,H3,1
1812.04202v3.pdf,23,TIME COMPLEXITY,11,1,48,515,15,9.5,H3,1
19t001.pdf,1,RIETI Technical Paper Series 19-T-001,18,0,255,242,37,9.921699524,H1,1
19t001.pdf,1,市町村合併を考慮した市区町村パネルデータの作成,20,1,67,346,23,9.921699524,H1,1
19t001.pdf,1,（改訂版）,20,1,247,374,5,9.921699524,H1,1
19t001.pdf,1,近藤 恵介,14,0,266,449,5,9.921699524,H2,0
19t001.pdf,1,経済産業研究所,12,0,254,467,7,9.921699524,H2,0
19t001.pdf,2,市町村合併を考慮した市区町村パネルデータの作成 *,15.92157173,0,111,176,25,9.921699524,H1,1
19t001.pdf,2,近藤恵介 †,11.03999996,0,272,205,6,9.921699524,H3,1
19t001.pdf,2,（経済産業研究所）,11.03999996,0,248,221,9,9.921699524,H3,1
